subID,year,year2018,age_2018,age_2018.c,age_engagement,rank,ave_rank,hours.btw,hours.wtn,hours.btw.c,hours.wtn.c,hours_cat
S001,2010,-8,15,-0.86,4,NA,132.5,6.7395,NA,0.314800133,NA,high
S001,2011,-7,15,-0.86,4,NA,132.5,6.7395,NA,0.314800133,NA,high
S001,2012,-6,15,-0.86,4,NA,132.5,6.7395,NA,0.314800133,NA,high
S001,2013,-5,15,-0.86,4,NA,132.5,6.7395,NA,0.314800133,NA,high
S001,2014,-4,15,-0.86,4,NA,132.5,6.7395,NA,0.314800133,NA,high
S001,2015,-3,15,-0.86,4,157,132.5,6.7395,6.4295,0.314800133,-0.31,high
S001,2016,-2,15,-0.86,4,155,132.5,6.7395,6.3795,0.314800133,-0.36,high
S001,2017,-1,15,-0.86,4,115,132.5,6.7395,6.7695,0.314800133,0.03,high
S001,2018,0,15,-0.86,4,103,132.5,6.7395,7.3795,0.314800133,0.64,high
S002,2010,-8,17,1.14,2,NA,96.17,7.386666666,NA,0.961966799,NA,highest
S002,2011,-7,17,1.14,2,NA,96.17,7.386666666,NA,0.961966799,NA,highest
S002,2012,-6,17,1.14,2,NA,96.17,7.386666666,NA,0.961966799,NA,highest
S002,2013,-5,17,1.14,2,102,96.17,7.386666666,6.488333333,0.961966799,-0.898333333,highest
S002,2014,-4,17,1.14,2,94,96.17,7.386666666,7.848333333,0.961966799,0.461666667,highest
S002,2015,-3,17,1.14,2,100,96.17,7.386666666,6.468333333,0.961966799,-0.918333333,highest
S002,2016,-2,17,1.14,2,116,96.17,7.386666666,7.148333333,0.961966799,-0.238333333,highest
S002,2017,-1,17,1.14,2,89,96.17,7.386666666,8.128333333,0.961966799,0.741666667,highest
S002,2018,0,17,1.14,2,76,96.17,7.386666666,8.238333333,0.961966799,0.851666667,highest
S003,2010,-8,15,-0.86,4,NA,204.75,5.473,NA,-0.951699867,NA,lowest
S003,2011,-7,15,-0.86,4,NA,204.75,5.473,NA,-0.951699867,NA,lowest
S003,2012,-6,15,-0.86,4,NA,204.75,5.473,NA,-0.951699867,NA,lowest
S003,2013,-5,15,-0.86,4,NA,204.75,5.473,NA,-0.951699867,NA,lowest
S003,2014,-4,15,-0.86,4,NA,204.75,5.473,NA,-0.951699867,NA,lowest
S003,2015,-3,15,-0.86,4,272,204.75,5.473,5.223,-0.951699867,-0.25,lowest
S003,2016,-2,15,-0.86,4,243,204.75,5.473,4.693,-0.951699867,-0.78,lowest
S003,2017,-1,15,-0.86,4,151,204.75,5.473,5.793,-0.951699867,0.32,lowest
S003,2018,0,15,-0.86,4,153,204.75,5.473,6.183,-0.951699867,0.71,lowest
S004,2010,-8,17,1.14,2,NA,142.17,6.657,NA,0.232300133,NA,low
S004,2011,-7,17,1.14,2,NA,142.17,6.657,NA,0.232300133,NA,low
S004,2012,-6,17,1.14,2,NA,142.17,6.657,NA,0.232300133,NA,low
S004,2013,-5,17,1.14,2,200,142.17,6.657,5.948666667,0.232300133,-0.708333333,low
S004,2014,-4,17,1.14,2,184,142.17,6.657,6.578666667,0.232300133,-0.078333333,low
S004,2015,-3,17,1.14,2,171,142.17,6.657,6.328666667,0.232300133,-0.328333333,low
S004,2016,-2,17,1.14,2,106,142.17,6.657,7.258666667,0.232300133,0.601666667,low
S004,2017,-1,17,1.14,2,131,142.17,6.657,6.678666667,0.232300133,0.021666667,low
S004,2018,0,17,1.14,2,61,142.17,6.657,7.148666667,0.232300133,0.491666667,low
S005,2010,-8,16,0.14,1,NA,190.8,6.2964,NA,-0.128299867,NA,low
S005,2011,-7,16,0.14,1,NA,190.8,6.2964,NA,-0.128299867,NA,low
S005,2012,-6,16,0.14,1,NA,190.8,6.2964,NA,-0.128299867,NA,low
S005,2013,-5,16,0.14,1,NA,190.8,6.2964,NA,-0.128299867,NA,low
S005,2014,-4,16,0.14,1,257,190.8,6.2964,5.9084,-0.128299867,-0.388,low
S005,2015,-3,16,0.14,1,245,190.8,6.2964,5.3084,-0.128299867,-0.988,low
S005,2016,-2,16,0.14,1,168,190.8,6.2964,6.6884,-0.128299867,0.392,low
S005,2017,-1,16,0.14,1,159,190.8,6.2964,6.6684,-0.128299867,0.372,low
S005,2018,0,16,0.14,1,125,190.8,6.2964,6.9084,-0.128299867,0.612,low
S007,2010,-8,17,1.14,1,NA,119.83,6.687,NA,0.262300133,NA,high
S007,2011,-7,17,1.14,1,NA,119.83,6.687,NA,0.262300133,NA,high
S007,2012,-6,17,1.14,1,NA,119.83,6.687,NA,0.262300133,NA,high
S007,2013,-5,17,1.14,1,165,119.83,6.687,6.455333333,0.262300133,-0.231666667,high
S007,2014,-4,17,1.14,1,142,119.83,6.687,6.405333333,0.262300133,-0.281666667,high
S007,2015,-3,17,1.14,1,117,119.83,6.687,6.785333333,0.262300133,0.098333333,high
S007,2016,-2,17,1.14,1,129,119.83,6.687,5.835333333,0.262300133,-0.851666667,high
S007,2017,-1,17,1.14,1,68,119.83,6.687,7.355333333,0.262300133,0.668333333,high
S007,2018,0,17,1.14,1,98,119.83,6.687,7.285333333,0.262300133,0.598333333,high
S009,2010,-8,17,1.14,3,NA,110.67,7.425,NA,1.000300133,NA,highest
S009,2011,-7,17,1.14,3,NA,110.67,7.425,NA,1.000300133,NA,highest
S009,2012,-6,17,1.14,3,NA,110.67,7.425,NA,1.000300133,NA,highest
S009,2013,-5,17,1.14,3,140,110.67,7.425,7.518333333,1.000300133,0.093333333,highest
S009,2014,-4,17,1.14,3,138,110.67,7.425,6.688333333,1.000300133,-0.736666667,highest
S009,2015,-3,17,1.14,3,90,110.67,7.425,8.448333333,1.000300133,1.023333333,highest
S009,2016,-2,17,1.14,3,112,110.67,7.425,7.358333333,1.000300133,-0.066666667,highest
S009,2017,-1,17,1.14,3,113,110.67,7.425,6.988333333,1.000300133,-0.436666667,highest
S009,2018,0,17,1.14,3,71,110.67,7.425,7.548333333,1.000300133,0.123333333,highest
S013,2010,-8,17,1.14,3,NA,123.67,7.616833334,NA,1.192133467,NA,highest
S013,2011,-7,17,1.14,3,NA,123.67,7.616833334,NA,1.192133467,NA,highest
S013,2012,-6,17,1.14,3,NA,123.67,7.616833334,NA,1.192133467,NA,highest
