ID,grp,t,y,grp_cat
1,0,0,89.71236076,0
1,0,1,67.186431,0
1,0,2,49.89238402,0
1,0,3,40.15656405,0
1,0,4,28.21284913,0
1,0,5,20.2744022,0
1,0,6,16.32100293,0
1,0,7,11.91929863,0
1,0,8,8.683291585,0
1,0,9,6.444635835,0
1,0,10,5.329361341,0
1,0,11,2.57763439,0
1,0,12,1.55373446,0
1,0,13,3.672552026,0
1,0,14,-0.555473572,0
1,0,15,1.132575788,0
1,0,16,-0.256858013,0
1,0,17,0.885046906,0
1,0,18,1.461363285,0
1,0,19,-1.74229698,0
2,1,0,90.88843991,1
2,1,1,51.58288249,1
2,1,2,28.27759942,1
2,1,3,15.06262045,1
2,1,4,10.45693014,1
2,1,5,5.431470857,1
2,1,6,3.419933207,1
2,1,7,2.651968914,1
2,1,8,2.776285454,1
2,1,9,0.494627602,1
2,1,10,-0.217339128,1
2,1,11,1.619693585,1
2,1,12,-0.786710788,1
2,1,13,-1.100180439,1
2,1,14,-0.500938717,1
2,1,15,2.458955354,1
2,1,16,-0.828452724,1
2,1,17,0.412267099,1
2,1,18,-1.182974591,1
2,1,19,-1.18006979,1
3,0,0,89.67129434,0
3,0,1,69.06641657,0
3,0,2,50.45913851,0
3,0,3,39.15279141,0
3,0,4,27.36023194,0
3,0,5,21.27815599,0
3,0,6,15.53142825,0
3,0,7,11.89870662,0
3,0,8,10.46928643,0
3,0,9,6.835915501,0
3,0,10,5.396509669,0
3,0,11,4.185139086,0
3,0,12,2.343109202,0
3,0,13,0.796604746,0
3,0,14,1.344358181,0
3,0,15,1.389637302,0
3,0,16,1.967893474,0
3,0,17,0.459902465,0
3,0,18,0.236693874,0
3,0,19,2.021854757,0
4,1,0,89.19375357,1
4,1,1,51.72166304,1
4,1,2,28.65895091,1
4,1,3,17.07931975,1
4,1,4,7.944992583,1
4,1,5,4.879900948,1
4,1,6,2.785272066,1
4,1,7,2.741593622,1
4,1,8,0.505491173,1
4,1,9,0.840030691,1
4,1,10,-0.122574681,1
4,1,11,-0.695984784,1
4,1,12,0.763125399,1
4,1,13,-0.431924504,1
4,1,14,1.350330418,1
4,1,15,0.430317039,1
4,1,16,-0.172178753,1
4,1,17,0.429449457,1
4,1,18,-0.069018404,1
4,1,19,0.42568073,1
5,0,0,89.55232942,0
5,0,1,63.58710318,0
5,0,2,48.17037042,0
5,0,3,35.73289592,0
5,0,4,24.63526466,0
5,0,5,17.59415689,0
5,0,6,13.2218406,0
5,0,7,9.454064842,0
5,0,8,7.693617324,0
5,0,9,5.439139625,0
5,0,10,4.900460226,0
5,0,11,4.467648464,0
5,0,12,2.02777529,0
5,0,13,1.460033349,0
5,0,14,1.324207143,0
5,0,15,0.437047438,0
5,0,16,0.441763506,0
5,0,17,0.296171364,0
5,0,18,0.542183398,0
5,0,19,0.33161947,0
6,1,0,89.76171823,1
6,1,1,49.6707804,1
6,1,2,27.17038231,1
6,1,3,15.87042442,1
6,1,4,8.318237681,1
6,1,5,3.953276107,1
6,1,6,2.275473964,1
6,1,7,0.704774451,1
6,1,8,0.973360521,1
6,1,9,1.273044184,1
6,1,10,0.869039138,1
6,1,11,0.333817748,1
6,1,12,-0.016300085,1
6,1,13,0.332487161,1
6,1,14,-0.029192078,1
6,1,15,-2.026008554,1
6,1,16,0.368890626,1
6,1,17,-0.36501179,1
6,1,18,1.274281613,1
6,1,19,2.173682196,1
7,0,0,88.74652848,0
7,0,1,69.81951418,0
7,0,2,53.38412523,0
7,0,3,40.44990173,0
7,0,4,32.14096362,0
7,0,5,24.95619026,0
7,0,6,18.55931443,0
7,0,7,14.05233466,0
7,0,8,9.949588308,0
7,0,9,7.86233343,0
7,0,10,6.293588434,0
7,0,11,4.767385122,0
7,0,12,4.811583515,0
7,0,13,2.698850018,0
7,0,14,4.173153539,0
7,0,15,1.319371265,0
7,0,16,2.918284593,0
7,0,17,1.19183371,0
7,0,18,-0.296254332,0
7,0,19,1.180952945,0
8,1,0,90.03445683,1
8,1,1,48.94007454,1
8,1,2,27.85394132,1
8,1,3,15.30407618,1
8,1,4,9.121506263,1
8,1,5,3.419317292,1
8,1,6,1.873275108,1
8,1,7,0.323837491,1
8,1,8,-2.286065858,1
8,1,9,0.737594431,1
8,1,10,1.465295416,1
8,1,11,0.797300363,1
8,1,12,-1.258211476,1
8,1,13,-0.808402147,1
8,1,14,-1.762888025,1
8,1,15,1.248572928,1
8,1,16,-0.322218398,1
8,1,17,-0.957807846,1
8,1,18,0.887423952,1
8,1,19,-0.246325045,1
9,0,0,88.46021267,0
9,0,1,68.4777431,0
9,0,2,52.17669511,0
9,0,3,39.86406298,0
9,0,4,30.63156386,0
9,0,5,22.37727463,0
9,0,6,18.14679076,0
9,0,7,12.12437463,0
9,0,8,11.48760114,0
9,0,9,7.117128688,0
9,0,10,6.311647877,0
9,0,11,5.077131382,0
9,0,12,3.094141651,0
9,0,13,0.977701816,0
9,0,14,1.618343757,0
9,0,15,0.904087078,0
9,0,16,0.735348281,0
9,0,17,1.697370682,0
9,0,18,1.328078616,0
9,0,19,0.722314555,0
10,1,0,89.2323085,1
10,1,1,58.22015301,1
10,1,2,32.74372938,1
10,1,3,19.62858028,1
10,1,4,13.45268185,1
10,1,5,10.81595261,1
10,1,6,4.653406825,1
10,1,7,1.801768988,1
10,1,8,1.438576639,1
10,1,9,3.683637095,1
10,1,10,-0.091330769,1
10,1,11,-0.108495623,1
10,1,12,-0.045113493,1
10,1,13,0.865447343,1
10,1,14,0.719388715,1
10,1,15,-0.445655384,1
10,1,16,-1.943653729,1
10,1,17,1.850426946,1
10,1,18,-1.290997249,1
10,1,19,-0.536652684,1
11,0,0,90.18975796,0
11,0,1,69.80577403,0
11,0,2,52.2826711,0
11,0,3,41.56928084,0
11,0,4,32.69863222,0
11,0,5,25.00295077,0
11,0,6,19.78043238,0
11,0,7,13.69173235,0
11,0,8,11.10844143,0
11,0,9,9.756857288,0
11,0,10,7.191149426,0
11,0,11,5.538574983,0
11,0,12,5.025254895,0
11,0,13,2.597521343,0
11,0,14,2.970175188,0
11,0,15,0.983082594,0
11,0,16,1.12028484,0
11,0,17,1.215918087,0
11,0,18,1.381103898,0
11,0,19,-2.039290367,0
12,1,0,91.14567758,1
12,1,1,51.69383388,1
12,1,2,30.55796723,1
12,1,3,17.74415234,1
12,1,4,10.12915108,1
12,1,5,5.580464734,1
12,1,6,3.736019381,1
12,1,7,1.694178828,1
12,1,8,1.65174465,1
12,1,9,0.941362374,1
12,1,10,1.176068875,1
12,1,11,-0.483082225,1
12,1,12,-0.277340373,1
12,1,13,0.473862507,1
12,1,14,-1.0636655,1
12,1,15,-0.354761951,1
12,1,16,0.314211542,1
12,1,17,1.808497518,1
12,1,18,0.826760947,1
12,1,19,-1.308838106,1
13,0,0,88.10624542,0
13,0,1,64.44578736,0
13,0,2,46.58989794,0
13,0,3,34.00739447,0
13,0,4,25.59709869,0
13,0,5,19.37270948,0
13,0,6,13.46922359,0
13,0,7,10.0743668,0
13,0,8,5.159552671,0
13,0,9,5.638830585,0
13,0,10,4.574088473,0
13,0,11,1.890841043,0
13,0,12,1.457837107,0
13,0,13,1.197695198,0
13,0,14,0.551121338,0
13,0,15,1.027629447,0
13,0,16,-0.085948517,0
13,0,17,-0.07132532,0
13,0,18,-0.463575988,0
13,0,19,0.957553284,0
14,1,0,88.7407264,1
14,1,1,50.99915713,1
14,1,2,28.15600299,1
14,1,3,15.46389769,1
14,1,4,8.837716744,1
14,1,5,7.273146844,1
14,1,6,3.127232982,1
14,1,7,2.789361598,1
14,1,8,1.467443526,1
14,1,9,0.291314868,1
14,1,10,-1.188689526,1
14,1,11,1.307942512,1
14,1,12,0.342649586,1
14,1,13,0.464116624,1
14,1,14,0.426094216,1
14,1,15,-0.238078469,1
14,1,16,-0.341349364,1
14,1,17,-0.725294776,1
14,1,18,-2.430809282,1
14,1,19,-1.61992164,1
15,0,0,91.69991322,0
15,0,1,65.47033348,0
15,0,2,51.54912784,0
15,0,3,39.14129626,0
15,0,4,28.04111678,0
15,0,5,22.94919086,0
15,0,6,16.01295542,0
15,0,7,12.4994872,0
15,0,8,10.77147937,0
15,0,9,6.627854981,0
15,0,10,5.176401388,0
15,0,11,5.290097707,0
15,0,12,2.926484386,0
15,0,13,1.82568386,0
15,0,14,2.821558128,0
15,0,15,0.8259037,0
15,0,16,2.326448199,0
15,0,17,0.391498947,0
15,0,18,1.086967417,0
